lr/train,time/total_timesteps,train/loss,eval/loss,eval/win_rate_over_baseline,eval/baseline_error,eval/std_error,eval/baseline_std
0.001,1000,inf,,,,,
0.001,2000,0.9791363153457642,,,,,
0.001,3000,0.8890972981452941,,,,,
0.001,4000,0.8080394339561462,,,,,
0.001,5000,0.7689707570075989,,,,,
0.001,6000,0.8023203654289246,,,,,
0.001,7000,0.698741042137146,,,,,
0.001,8000,0.6721200475692749,,,,,
0.001,9000,0.7446164083480835,,,,,
0.001,10000,0.7489549684524536,,,,,
,10000,,0.9921351432800293,0.800000011920929,1.0161746203899384,0.6460090620884116,0.4426932867007121
0.001,11000,0.6608040943145752,,,,,
0.001,12000,0.7069626007080078,,,,,
0.001,13000,0.6859266095161438,,,,,
0.001,14000,0.7307595343589782,,,,,
0.001,15000,0.6585835933685302,,,,,
0.001,16000,0.6462043209075927,,,,,
0.001,17000,0.6642087674140931,,,,,
0.001,18000,0.6441147131919861,,,,,
0.001,19000,0.6846909198760986,,,,,
0.001,20000,0.6555605773925781,,,,,
,20000,,1.0742943450808524,0.7000000476837158,1.2465693831443787,1.1611965604935255,0.4668642398043983
0.001,21000,0.6229352602958679,,,,,
0.001,22000,0.6483114714622498,,,,,
0.001,23000,0.6167547826766968,,,,,
0.001,24000,0.5806877517700195,,,,,
0.001,25000,0.7002227783203125,,,,,
0.001,26000,0.6211494264602662,,,,,
0.001,27000,0.6344196944236755,,,,,
0.001,28000,0.6053308806419373,,,,,
0.001,29000,0.6263699288368225,,,,,
0.001,30000,0.6997619028091431,,,,,
,30000,,0.5635376572608948,0.6666666865348816,1.0933099031448363,0.38702515508839946,0.3172178172942598
0.001,31000,0.5441788067817688,,,,,
0.001,32000,0.5977146453857421,,,,,
0.001,33000,0.5598263130187988,,,,,
0.001,34000,0.5127448620796203,,,,,
0.001,35000,0.49397931575775145,,,,,
0.001,36000,0.5816833472251892,,,,,
0.001,37000,0.5633626618385315,,,,,
0.001,38000,0.5600375590324402,,,,,
0.001,39000,0.5818342957496643,,,,,
0.001,40000,0.6199063744544983,,,,,
,40000,,0.7774478554725647,0.6000000238418579,1.0176720405812376,0.5799765032883383,0.57181821631681
0.001,41000,0.6020975131988525,,,,,
0.001,42000,0.546797423362732,,,,,
0.001,43000,0.5228295876979828,,,,,
0.001,44000,0.5833008034229279,,,,,
0.001,45000,0.4921963741779327,,,,,
0.001,46000,0.5906229016780853,,,,,
0.001,47000,0.509973283290863,,,,,
0.001,48000,0.5958872485160828,,,,,
0.001,49000,0.5737895803451538,,,,,
0.001,50000,0.5106054992675781,,,,,
,50000,,0.2893649164587259,0.6800000071525574,1.2141922473907472,0.3693788275852014,0.18379558423108272
0.001,51000,0.5660696110725403,,,,,
0.001,52000,0.5690443692207336,,,,,
0.001,53000,0.503760133266449,,,,,
0.001,54000,0.5728274655342102,,,,,
0.001,55000,0.47160632753372195,,,,,
0.001,56000,0.5523901267051696,,,,,
0.001,57000,0.5522169818878174,,,,,
0.001,58000,0.47801616191864016,,,,,
0.001,59000,0.4402780981063843,,,,,
0.001,60000,0.6457179279327393,,,,,
,60000,,0.720394903421402,0.7000000476837158,1.2286047697067262,0.37212596995284747,0.13440982696127965
0.001,61000,0.42749507570266726,,,,,
0.001,62000,0.515544894695282,,,,,
0.001,63000,0.5176038622856141,,,,,
0.001,64000,0.5549092888832092,,,,,
0.001,65000,0.5659856333732605,,,,,
0.001,66000,0.4433338847160339,,,,,
0.001,67000,0.5136184372901916,,,,,
0.001,68000,0.4792164330482483,,,,,
0.001,69000,0.48298246240615844,,,,,
0.001,70000,0.5252377495765687,,,,,
,70000,,0.8110703647136688,0.6857143044471741,0.9309695661067963,0.5120642490852825,0.39256444418251296
0.001,71000,0.4702567727565765,,,,,
0.001,72000,0.49055437970161436,,,,,
0.001,73000,0.5014154629707337,,,,,
0.001,74000,0.4608180594444275,,,,,
0.001,75000,0.40117300891876223,,,,,
0.001,76000,0.46335205364227294,,,,,
0.001,77000,0.41318687224388123,,,,,
0.001,78000,0.4275391552448273,,,,,
0.001,79000,0.40558613085746764,,,,,
0.001,80000,0.4649077570438385,,,,,
,80000,,0.3058097317814827,0.7250000238418579,1.1195598244667053,0.19153160414495987,0.32653177202302147
0.001,81000,0.4242937355041504,,,,,
0.001,82000,0.4824780168533325,,,,,
0.001,83000,0.3673813714981079,,,,,
0.001,84000,0.5025250682830811,,,,,
0.001,85000,0.4235560479164123,,,,,
0.001,86000,0.44942163133621216,,,,,
0.001,87000,0.3383063795566559,,,,,
0.001,88000,0.4090056092739105,,,,,
0.001,89000,0.4013303437232971,,,,,
0.001,90000,0.41510715007781984,,,,,
,90000,,0.43170713186264037,0.7333333492279053,1.0937686622142793,0.29436939138440865,0.4653408200257131
0.001,91000,0.4263469440937042,,,,,
0.001,92000,0.4225734770298004,,,,,
0.001,93000,0.3986966297626495,,,,,
0.001,94000,0.37772166228294374,,,,,
0.001,95000,0.4342263116836548,,,,,
0.001,96000,0.4845899658203125,,,,,
0.001,97000,0.40183590054512025,,,,,
0.001,98000,0.3690139467716217,,,,,
0.001,99000,0.3815264186859131,,,,,
0.001,100000,0.45777598428726196,,,,,
,100000,,0.5946459740400314,0.7600000500679016,1.1883241415023804,0.48460309062725415,0.10592466257705206
0.001,101000,0.39891155052185057,,,,,
0.001,102000,0.2881370539665222,,,,,
0.001,103000,0.3926024823188782,,,,,
0.001,104000,0.42546743774414064,,,,,
0.001,105000,0.3467152361869812,,,,,
0.001,106000,0.2975500755310059,,,,,
0.001,107000,0.39880020427703855,,,,,
0.001,108000,0.33494896268844604,,,,,
0.001,109000,0.3397267701625824,,,,,
0.001,110000,0.3820268919467926,,,,,
,110000,,0.6485984206199646,0.7636364102363586,1.1281288862228394,0.8193001974178955,0.3478718513668755
0.001,111000,0.25891509783267974,,,,,
0.001,112000,0.30589222753047945,,,,,
0.001,113000,0.4824686198234558,,,,,
0.001,114000,0.4495885624885559,,,,,
0.001,115000,0.36236168694496157,,,,,
0.001,116000,0.39780930685997007,,,,,
0.001,117000,0.3412179720401764,,,,,
0.001,118000,0.3570757644176483,,,,,
0.001,119000,0.3955338225364685,,,,,
0.001,120000,0.3155092406272888,,,,,
,120000,,0.9761548340320587,0.7500000596046448,1.2670612394809724,0.9364705164179716,0.6342910226081542
0.001,121000,0.3348704524040222,,,,,
0.001,122000,0.3566269283294678,,,,,
0.001,123000,0.3547417206764221,,,,,
0.001,124000,0.37445141792297365,,,,,
0.001,125000,0.3646947712898254,,,,,
0.001,126000,0.3383055443763733,,,,,
0.001,127000,0.2500059368610382,,,,,
0.001,128000,0.5337844407558441,,,,,
0.001,129000,0.3245948638916016,,,,,
0.001,130000,0.33263572239875794,,,,,
,130000,,0.49446706771850585,0.7538462281227112,1.1662158370018005,0.3009141964751514,0.2796824056036684
0.001,131000,0.3083484871387482,,,,,
0.001,132000,0.3318830761909485,,,,,
0.001,133000,0.3410370099544525,,,,,
0.001,134000,0.36674337410926816,,,,,
0.001,135000,0.330647474527359,,,,,
0.001,136000,0.29033898425102234,,,,,
0.001,137000,0.37509056067466734,,,,,
0.001,138000,0.31460409808158873,,,,,
0.001,139000,0.32382801866531374,,,,,
0.001,140000,0.33267635345458985,,,,,
,140000,,0.12578272209502755,0.771428644657135,1.1376205205917358,0.09732021281030998,0.2590187822759314
0.001,141000,0.3478553149700165,,,,,
0.001,142000,0.2602168071269989,,,,,
0.001,143000,0.32924232983589174,,,,,
0.001,144000,0.4057857115268707,,,,,
0.001,145000,0.352347487449646,,,,,
0.001,146000,0.32767845058441164,,,,,
0.001,147000,0.34607781410217286,,,,,
0.001,148000,0.33595205783843995,,,,,
0.001,149000,0.35024749183654785,,,,,
0.001,150000,0.33507892513275145,,,,,
,150000,,0.40418578684329987,0.7733334302902222,0.9723381042480469,0.3320619415057096,0.3289650452196941
0.001,151000,0.3617866213321686,,,,,
0.001,152000,0.36531827330589295,,,,,
0.001,153000,0.3144301060438156,,,,,
0.001,154000,0.3311962834596634,,,,,
0.001,155000,0.31063239443302154,,,,,
0.001,156000,0.32378341948986056,,,,,
0.001,157000,0.33195003592967987,,,,,
0.001,158000,0.2918676999807358,,,,,
0.001,159000,0.28507436728477475,,,,,
0.001,160000,0.34040214586257933,,,,,
,160000,,1.2662242352962494,0.75,0.9399972796440125,0.7851504788068197,0.45149934626094745
0.001,161000,0.2353905348777771,,,,,
0.001,162000,0.31408128929138185,,,,,
0.001,163000,0.34938983869552614,,,,,
0.001,164000,0.2324274983406067,,,,,
0.001,165000,0.3140066125392914,,,,,
0.001,166000,0.3297739779949188,,,,,
0.001,167000,0.2608500490188599,,,,,
0.001,168000,0.3842411317825317,,,,,
0.001,169000,0.22974378538131715,,,,,
0.001,170000,0.309324170589447,,,,,
,170000,,0.3340569633990526,0.7647058963775635,1.0987926959991454,0.3785682801490891,0.25141310272429834
0.001,171000,0.28453436160087586,,,,,
0.001,172000,0.38582335686683655,,,,,
0.001,173000,0.37087374210357665,,,,,
0.001,174000,0.3634832420349121,,,,,
0.001,175000,0.31927940940856936,,,,,
0.001,176000,0.31213461589813235,,,,,
0.001,177000,0.2956061878204346,,,,,
0.001,178000,0.2607053117752075,,,,,
0.001,179000,0.29944984543323516,,,,,
0.001,180000,0.29194937789440156,,,,,
,180000,,0.2019001141175977,0.7777777910232544,1.3972340106964112,0.22164455455650078,0.2515084867472383
0.001,181000,0.2681773444414139,,,,,
0.001,182000,0.3174838718175888,,,,,
0.001,183000,0.2556967661380768,,,,,
0.001,184000,0.2896372902393341,,,,,
0.001,185000,0.19341832494735717,,,,,
0.001,186000,0.2785580062866211,,,,,
0.001,187000,0.3530334167480469,,,,,
0.001,188000,0.33190695142745974,,,,,
0.001,189000,0.26606695663928986,,,,,
0.001,190000,0.32250404393672943,,,,,
,190000,,0.2778474152088165,0.7894737124443054,0.9605894804000854,0.22549404375591697,0.3578309372443512
0.001,191000,0.21343568086624146,,,,,
0.001,192000,0.37335781574249266,,,,,
0.001,193000,0.2572440524101257,,,,,
0.001,194000,0.31742854332923887,,,,,
0.001,195000,0.2688192994594574,,,,,
0.001,196000,0.2655616683959961,,,,,
0.001,197000,0.30463211941719054,,,,,
0.001,198000,0.30683680272102354,,,,,
0.001,199000,0.31560281324386597,,,,,
0.001,200000,0.20981246423721314,,,,,
,200000,,0.28181238295510413,0.7900000214576721,0.9251794144511223,0.35045818939691065,0.47222536359520006
